invoice_id,line_no,item_code,description,quantity,unit_price,line_total
INV-00001,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,6,6509.81,39058.86
INV-00002,1,WLD-MIG08,MIG wire 0.8mm 15kg spool,5,830.38,4151.9
INV-00003,1,PIP-GAL50,Galvanised pipe 50mm medium 6m,7,6028.69,42200.83
INV-00004,1,BRG-6205,Deep groove ball bearing 6205 2RS,2,556.95,1113.9
INV-00004,2,DRV-TL2517,Taper lock bush 2517 x 45mm,25,588.4,14710.0
INV-00005,1,WLD-E6013,Welding electrode E6013 3.2mm 5kg,3,330.5,991.5
INV-00005,2,WLD-MIG08,MIG wire 0.8mm 15kg spool,1,1235.12,1235.12
INV-00006,1,WLD-E6013,Welding electrode E6013 3.2mm 5kg,2,330.24,660.48
INV-00006,2,WLD-MIG08,MIG wire 0.8mm 15kg spool,1,1132.95,1132.95
INV-00007,1,HDW-PDL50,Brass padlock 50mm keyed alike,20,252.02,5040.4
INV-00008,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,5,37569.94,187849.7
INV-00008,2,REF-GAS404,Refrigerant R404a 10kg cylinder,10,8578.38,85783.8
INV-00009,1,CHM-DEG25,Industrial degreaser 25 litre,6,1356.01,8136.06
INV-00010,1,HDW-PDL50,Brass padlock 50mm keyed alike,8,251.24,2009.92
INV-00010,2,HDW-CST100,Swivel castor 100mm braked,10,304.79,3047.9
INV-00011,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,6,4468.31,26809.86
INV-00012,1,BRG-6205,Deep groove ball bearing 6205 2RS,25,422.37,10559.25
INV-00013,1,HDW-PDL50,Brass padlock 50mm keyed alike,1,305.62,305.62
INV-00014,1,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,2,4686.07,9372.14
INV-00014,2,TLS-DRL18,Cordless drill 18V two battery kit,12,2778.46,33341.52
INV-00014,3,TLS-GRN230,Angle grinder 230mm 2400W,4,4029.56,16118.24
INV-00015,1,CHM-RUS05,Rust converter 5 litre,44,923.27,40623.88
INV-00015,2,CHM-DEG25,Industrial degreaser 25 litre,3,1535.34,4606.02
INV-00016,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,5,5577.7,27888.5
INV-00017,1,DRV-TL2517,Taper lock bush 2517 x 45mm,10,521.71,5217.1
INV-00018,1,SEL-GSK150,Full face gasket 150mm rubber insertion,4,165.96,663.84
INV-00018,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,2,86.65,173.3
INV-00018,3,SEL-ORK01,O ring kit nitrile 382 piece,2,1343.85,2687.7
INV-00019,1,HYD-PMP45,Gear pump 45cc SAE B,3,5674.22,17022.66
INV-00020,1,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,5,9426.72,47133.6
INV-00020,2,MTR-REW11,Motor rewind 11kW including bearings,1,8615.26,8615.26
INV-00021,1,HDW-PDL50,Brass padlock 50mm keyed alike,5,244.67,1223.35
INV-00021,2,HDW-CST100,Swivel castor 100mm braked,5,385.98,1929.9
INV-00022,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,10,5854.49,58544.9
INV-00023,1,PNT-EPX20,Two pack epoxy enamel 20 litre,5,5233.6,26168.0
INV-00023,2,PNT-PRM20,Zinc phosphate primer 20 litre,1,2917.79,2917.79
INV-00024,1,REF-GAS404,Refrigerant R404a 10kg cylinder,2,7290.73,14581.46
INV-00025,1,ELE-BAT100,Deep cycle battery 100Ah,4,3025.52,12102.08
INV-00025,2,ELE-SWA4C,SWA cable 4 core 16mm per metre,10,232.33,2323.3
INV-00026,1,PNT-EPX20,Two pack epoxy enamel 20 litre,6,5740.77,34444.62
INV-00027,1,ELE-BAT100,Deep cycle battery 100Ah,3,3550.55,10651.65
INV-00027,2,ELE-CB63,Circuit breaker 63A triple pole,1,918.09,918.09
INV-00027,3,ELE-CON40,Contactor 40A 230V coil,5,1606.55,8032.75
INV-00028,1,BRG-22216,Spherical roller bearing 22216 E,4,2075.43,8301.72
INV-00028,2,DRV-TL2517,Taper lock bush 2517 x 45mm,2,668.45,1336.9
INV-00028,3,BRG-6205,Deep groove ball bearing 6205 2RS,3,152.28,456.84
INV-00029,1,ELE-BAT100,Deep cycle battery 100Ah,3,3550.55,10651.65
INV-00029,2,ELE-CB63,Circuit breaker 63A triple pole,1,918.09,918.09
INV-00029,3,ELE-CON40,Contactor 40A 230V coil,5,1606.55,8032.75
INV-00030,1,TLS-DRL18,Cordless drill 18V two battery kit,2,3812.75,7625.5
INV-00030,2,TLS-GRN230,Angle grinder 230mm 2400W,2,3123.34,6246.68
INV-00030,3,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,2,4226.49,8452.98
INV-00031,1,SEL-GSK150,Full face gasket 150mm rubber insertion,4,287.15,1148.6
INV-00031,2,SEL-ORK01,O ring kit nitrile 382 piece,2,1404.44,2808.88
INV-00031,3,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,2,84.42,168.84
INV-00032,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,8,24218.51,193748.08
INV-00032,2,REF-GAS404,Refrigerant R404a 10kg cylinder,6,8012.92,48077.52
INV-00033,1,PIP-FLG80,Slip on flange 80mm table D,2,442.18,884.36
INV-00033,2,PIP-GAL50,Galvanised pipe 50mm medium 6m,6,1073.16,6438.96
INV-00034,1,PPE-BOOT8,Safety boot steel toe size 8 pair,8,761.71,6093.68
INV-00034,2,PPE-GLV10,Cut resistant glove level 5 pair,6,126.02,756.12
INV-00035,1,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,25,3896.15,97403.75
INV-00036,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,6,3039.86,18239.16
INV-00036,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,50,3459.66,172983.0
INV-00037,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,3,6201.91,18605.73
INV-00037,2,INS-TMP01,PT100 temperature probe with head,3,1216.69,3650.07
INV-00038,1,ELE-BAT100,Deep cycle battery 100Ah,4,3849.1,15396.4
INV-00039,1,MTR-REW11,Motor rewind 11kW including bearings,6,12660.56,75963.36
INV-00040,1,ELE-CON40,Contactor 40A 230V coil,2,974.82,1949.64
INV-00040,2,ELE-SWA4C,SWA cable 4 core 16mm per metre,7,290.73,2035.11
INV-00041,1,MTR-REW11,Motor rewind 11kW including bearings,5,9739.74,48698.7
INV-00042,1,ELE-BAT100,Deep cycle battery 100Ah,6,2602.4,15614.4
INV-00042,2,ELE-CB63,Circuit breaker 63A triple pole,3,1130.41,3391.23
INV-00043,1,SEL-GSK150,Full face gasket 150mm rubber insertion,1,292.78,292.78
INV-00044,1,PIP-FLG80,Slip on flange 80mm table D,1,393.86,393.86
INV-00044,2,PIP-GAL50,Galvanised pipe 50mm medium 6m,4,1405.3,5621.2
INV-00045,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,4,458.38,1833.52
INV-00045,2,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,50,1180.63,59031.5
INV-00046,1,WLD-E6013,Welding electrode E6013 3.2mm 5kg,3,494.36,1483.08
INV-00047,1,DRV-TL2517,Taper lock bush 2517 x 45mm,1,528.65,528.65
INV-00047,2,BRG-6205,Deep groove ball bearing 6205 2RS,8,497.02,3976.16
INV-00047,3,BRG-22216,Spherical roller bearing 22216 E,10,3976.23,39762.3
INV-00048,1,HYD-FIT12,Swaged fitting 1/2 BSP male,20,122.87,2457.4
INV-00049,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,5,34744.18,173720.9
INV-00050,1,BRG-22216,Spherical roller bearing 22216 E,10,3152.62,31526.2
INV-00050,2,DRV-TL2517,Taper lock bush 2517 x 45mm,10,451.78,4517.8
INV-00050,3,BRG-6205,Deep groove ball bearing 6205 2RS,2,382.15,764.3
INV-00051,1,ELE-CON40,Contactor 40A 230V coil,7,1004.11,7028.77
INV-00051,2,ELE-SWA4C,SWA cable 4 core 16mm per metre,1,379.43,379.43
INV-00052,1,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,6,3531.53,21189.18
INV-00053,1,PNU-FRL12,Filter regulator lubricator 1/2 inch,1,2045.5,2045.5
INV-00054,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,10,725.19,7251.9
INV-00055,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,2,27334.99,54669.98
INV-00055,2,REF-GAS404,Refrigerant R404a 10kg cylinder,5,8073.09,40365.45
INV-00056,1,PPE-BOOT8,Safety boot steel toe size 8 pair,20,530.17,10603.4
INV-00056,2,PPE-HRN01,Full body safety harness double lanyard,1,1721.17,1721.17
INV-00057,1,PIP-FLG80,Slip on flange 80mm table D,6,385.3,2311.8
INV-00057,2,PIP-GAL50,Galvanised pipe 50mm medium 6m,8,1632.17,13057.36
INV-00058,1,PIP-FLG80,Slip on flange 80mm table D,1,459.2,459.2
INV-00059,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,12,3193.71,38324.52
INV-00059,2,STL-RD304,Stainless round bar 304 20mm 6m,8,1904.42,15235.36
INV-00059,3,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,35,964.12,33744.2
INV-00060,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,1,816.82,816.82
INV-00060,2,FST-ANC12,Chemical anchor stud M12 x 160,1,87.64,87.64
INV-00060,3,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,25,1047.98,26199.5
INV-00061,1,PPE-HAT01,Hard hat vented with ratchet,20,115.25,2305.0
INV-00061,2,PPE-HRN01,Full body safety harness double lanyard,6,2094.13,12564.78
INV-00062,1,HDW-CST100,Swivel castor 100mm braked,6,396.56,2379.36
INV-00062,2,HDW-PDL50,Brass padlock 50mm keyed alike,2,219.49,438.98
INV-00063,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,1,2480.83,2480.83
INV-00063,2,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,50,1175.57,58778.5
INV-00064,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,1,6895.17,6895.17
INV-00064,2,HYD-PMP45,Gear pump 45cc SAE B,5,5978.37,29891.85
INV-00065,1,BRG-22216,Spherical roller bearing 22216 E,5,3531.21,17656.05
