supplier_id,supplier_name,category,vat_number,reg_number,address,contact_email,bank_name,branch_code,account_number,payment_terms_days,approved,date_approved
SUP-0001,Midrand Bearing Supplies (Pty) Ltd,Bearings and Drives,4310265355,2000/475156/07,"232 Commerce Crescent, Isando",accounts@midrandbearingsupp.co.za,First National Bank,250655,9308836478,60,Y,2025-02-03
SUP-0002,Vaal Steel Merchants (Pty) Ltd,Steel and Metals,4096043968,2016/715148/07,"127 Rondebult Road, Kempton Park",accounts@vaalsteelmerchants.co.za,Capitec Business,470010,20285660330,45,Y,2024-02-06
SUP-0003,Protea Hydraulics (Pty) Ltd,Hydraulics,4709743620,2003/433991/07,"98 Main Reef Road, Wadeville",accounts@proteahydraulics.co.za,Investec,580105,783262215,30,Y,2024-02-15
SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,Electrical,4946420230,2021/942825/07,"170 Kruger Street, Roodepoort",accounts@sandtonelectricalw.co.za,Capitec Business,470010,854779841,30,Y,2021-03-13
SUP-0005,Boksburg Fastener Co (Pty) Ltd,Fasteners,4796728484,2004/763196/07,"17 Electron Avenue, Wadeville",accounts@boksburgfastenerco.co.za,Investec,580105,2849751901,30,Y,2024-04-14
SUP-0006,Highveld Lubricants (Pty) Ltd,Lubricants,4347064497,2002/819986/07,"1 North Rand Road, Wadeville",accounts@highveldlubricants.co.za,First National Bank,250655,0173497462,45,Y,2022-11-01
SUP-0007,Cape Conveyor Systems (Pty) Ltd,Conveyors,4566819266,2014/175366/07,"202 Chilvers Street, Chloorkop",accounts@capeconveyorsystem.co.za,Investec,580105,1697533888,45,Y,2021-01-22
SUP-0008,Umgeni Valve and Pump (Pty) Ltd,Valves and Pumps,4801010427,2014/735306/07,"46 Sam Green Road, Kempton Park",accounts@umgenivalveandpump.co.za,Capitec Business,470010,2502045665,60,Y,2024-03-07
SUP-0009,Rand Safety Equipment (Pty) Ltd,Safety and PPE,4678043946,2016/225078/07,"106 Herman Road, Germiston",accounts@randsafetyequipmen.co.za,Capitec Business,470010,02375179999,60,Y,2020-05-15
SUP-0010,Germiston Tool Hire (Pty) Ltd,Tools,4336812635,2002/765643/07,"194 Herman Road, Chloorkop",accounts@germistontoolhire.co.za,Standard Bank,051001,320010260,30,Y,2023-07-15
SUP-0011,Karoo Abrasives (Pty) Ltd,Abrasives,4876863215,2009/532045/07,"31 Barlow Road, Spartan",accounts@karooabrasives.co.za,Absa Bank,632005,4414046038,45,Y,2024-05-13
SUP-0012,Tshwane Pneumatics (Pty) Ltd,Pneumatics,4985326213,2005/689810/07,"125 Barlow Road, Alrode",accounts@tshwanepneumatics.co.za,First National Bank,250655,3340180146,45,Y,2020-04-10
SUP-0013,Isando Welding Supplies (Pty) Ltd,Welding,4590357816,2005/618238/07,"81 Dekema Road, Alrode",accounts@isandoweldingsuppl.co.za,Nedbank,198765,92730777461,45,Y,2023-09-08
SUP-0014,Kempton Cable Works (Pty) Ltd,Electrical,4066746330,2016/990882/07,"18 Main Reef Road, Spartan",accounts@kemptoncableworks.co.za,First National Bank,250655,468719544,45,N,
SUP-0015,Alberton Seal and Gasket (Pty) Ltd,Seals,4766946128,2003/991169/07,"45 Main Reef Road, Chloorkop",accounts@albertonsealandgas.co.za,First National Bank,250655,76774682715,30,Y,2024-08-25
SUP-0016,Benoni Industrial Paints (Pty) Ltd,Paints and Coatings,4688431792,2017/791325/07,"164 Bond Street, Alrode",accounts@benoniindustrialpa.co.za,Capitec Business,470010,6520186947,30,Y,2020-02-08
SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,Motors,4443768103,2016/560449/07,"21 Main Reef Road, Spartan",accounts@roodepoortmotorrew.co.za,Investec,580105,04168918377,45,Y,2020-09-27
SUP-0018,Springs Gearbox Services (Pty) Ltd,Bearings and Drives,4292138514,2014/703508/07,"226 Diesel Road, Boksburg",accounts@springsgearboxserv.co.za,Standard Bank,051001,87770767045,30,Y,2019-10-11
SUP-0019,Edenvale Filtration (Pty) Ltd,Filtration,4716646430,2000/248188/07,"127 North Rand Road, Germiston",accounts@edenvalefiltration.co.za,First National Bank,250655,571310804,30,N,
SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,Bearings and Drives,4945218640,2021/957498/07,"238 Commerce Crescent, Kempton Park",accounts@krugersdorpchainan.co.za,Capitec Business,470010,1887809026,60,Y,2021-10-29
SUP-0021,Witbank Belting (Pty) Ltd,Conveyors,4604536863,2013/635487/07,"125 Kruger Street, Wadeville",accounts@witbankbelting.co.za,Investec,580105,27697013193,45,N,
SUP-0022,Nigel Compressor Services (Pty) Ltd,Pneumatics,4031702488,2011/391366/07,"55 Main Reef Road, Roodepoort",accounts@nigelcompressorser.co.za,Nedbank,198765,0657675921,60,Y,2022-07-22
SUP-0023,Modderfontein Chemicals (Pty) Ltd,Chemicals,4286297325,2011/287115/07,"132 Commerce Crescent, Wadeville",accounts@modderfonteinchemi.co.za,Standard Bank,051001,9128660241,30,Y,2021-12-09
SUP-0024,Randburg Instrumentation (Pty) Ltd,Instrumentation,4476453990,2006/865240/07,"39 Commerce Crescent, Kempton Park",accounts@randburginstrument.co.za,Investec,580105,76652374914,30,Y,2020-10-18
SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,Pipe and Fittings,4728868642,2005/157849/07,"23 Main Reef Road, Alrode",accounts@sasolburgpipeandfi.co.za,Standard Bank,051001,68910965089,30,Y,2020-01-09
