po_number,supplier_id,supplier_name,po_date,requester,department,cost_centre,total_ex_vat,approval_level,status
PO-2026-00001,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-06-17,A. Petersen,Warehouse,CC-300,23550.48,Department Manager,Open
PO-2026-00002,SUP-0044,Village Main Instruments (Pty) Ltd,2026-05-11,L. Nkosi,Production,CC-100,238595.5,Finance Manager,Open
PO-2026-00003,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-01-13,J. van Wyk,Warehouse,CC-300,8627.29,Buyer,Open
PO-2025-00004,SUP-0033,Aeroton Castors (Pty) Ltd,2025-11-13,B. Sithole,Engineering,CC-400,3293.0,Buyer,Open
PO-2026-00005,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2026-07-10,F. Adams,Maintenance,CC-200,6588.98,Buyer,Open
PO-2026-00006,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-07-22,K. Mahlangu,Facilities,CC-600,182876.6,Finance Manager,Open
PO-2025-00007,SUP-0022,Nigel Compressor Services (Pty) Ltd,2025-12-17,A. Petersen,Engineering,CC-400,108188.62,Finance Manager,Open
PO-2026-00008,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-07-23,T. Mokoena,Engineering,CC-400,9649.05,Buyer,Open
PO-2025-00009,SUP-0043,New Centre Gas and Gear (Pty) Ltd,2025-12-10,M. Fourie,Facilities,CC-600,53970.54,Finance Manager,Open
PO-2026-00010,SUP-0044,Village Main Instruments (Pty) Ltd,2026-04-30,J. van Wyk,Warehouse,CC-300,27301.72,Department Manager,Open
PO-2026-00011,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-07-20,G. Coetzee,Warehouse,CC-300,1028.51,Buyer,Open
PO-2026-00012,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-03-23,G. Coetzee,Engineering,CC-400,16268.35,Department Manager,Open
PO-2025-00013,SUP-0036,Booysens Battery Centre (Pty) Ltd,2025-12-01,P. Dlamini,Production,CC-100,19602.49,Department Manager,Open
PO-2026-00014,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,2026-07-31,M. Fourie,Engineering,CC-400,18235.5,Department Manager,Open
PO-2025-00015,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2025-10-20,A. Petersen,Warehouse,CC-300,97403.75,Finance Manager,Open
PO-2026-00016,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2026-04-28,T. Mokoena,Quality,CC-500,18262.83,Department Manager,Open
PO-2025-00017,SUP-0010,Germiston Tool Hire (Pty) Ltd,2025-11-17,D. Pillay,Production,CC-100,11799.16,Department Manager,Open
PO-2026-00018,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-01-23,N. Khumalo,Quality,CC-500,1034709.85,Chief Financial Officer,Open
PO-2025-00019,SUP-0031,Sebenza Workwear (Pty) Ltd,2025-10-27,S. Naidoo,Warehouse,CC-300,3343.6,Buyer,Open
PO-2025-00020,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,2025-11-11,D. Pillay,Production,CC-100,61.72,Buyer,Open
PO-2026-00021,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2026-01-12,F. Adams,Engineering,CC-400,21664.77,Department Manager,Open
PO-2026-00022,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-07-22,G. Coetzee,Maintenance,CC-200,710.72,Buyer,Open
PO-2025-00023,SUP-0027,Kya Sand Plastics (Pty) Ltd,2025-11-07,F. Adams,Production,CC-100,33759.68,Department Manager,Open
PO-2026-00024,SUP-0013,Isando Welding Supplies (Pty) Ltd,2026-04-02,T. Mokoena,Quality,CC-500,8326.29,Buyer,Open
PO-2026-00025,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2026-07-02,S. Naidoo,Engineering,CC-400,10608.08,Department Manager,Open
PO-2026-00026,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-05-29,R. Botha,Quality,CC-500,10123.89,Department Manager,Open
PO-2026-00027,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2026-02-02,N. Khumalo,Quality,CC-500,74837.97,Finance Manager,Open
PO-2025-00028,SUP-0024,Randburg Instrumentation (Pty) Ltd,2025-12-17,M. Fourie,Quality,CC-500,5119.04,Buyer,Open
PO-2025-00029,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2025-11-17,J. van Wyk,Facilities,CC-600,19537.6,Department Manager,Open
PO-2026-00030,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-01-12,B. Sithole,Production,CC-100,3115.27,Buyer,Open
PO-2026-00031,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-04-22,G. Coetzee,Production,CC-100,2739.68,Buyer,Open
PO-2025-00032,SUP-0006,Highveld Lubricants (Pty) Ltd,2025-10-16,T. Mokoena,Engineering,CC-400,66064.45,Finance Manager,Open
PO-2026-00033,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,2026-06-29,P. Dlamini,Maintenance,CC-200,77376.55,Finance Manager,Open
PO-2025-00034,SUP-0037,Denver Crane Services (Pty) Ltd,2025-10-06,A. Petersen,Warehouse,CC-300,35291.85,Department Manager,Open
PO-2026-00035,SUP-0010,Germiston Tool Hire (Pty) Ltd,2026-03-12,L. Nkosi,Facilities,CC-600,22325.16,Department Manager,Open
PO-2026-00036,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-04-03,J. van Wyk,Engineering,CC-400,94.04,Buyer,Open
PO-2025-00037,SUP-0031,Sebenza Workwear (Pty) Ltd,2025-10-21,P. Dlamini,Engineering,CC-400,5452.42,Buyer,Open
PO-2025-00038,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2025-12-22,T. Mokoena,Warehouse,CC-300,11543.28,Department Manager,Open
PO-2025-00039,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2025-10-13,F. Adams,Engineering,CC-400,171463.38,Finance Manager,Open
PO-2026-00040,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-08-24,S. Naidoo,Maintenance,CC-200,8927.6,Buyer,Open
PO-2026-00041,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2026-07-29,D. Pillay,Quality,CC-500,13260.08,Department Manager,Open
PO-2026-00042,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2026-05-28,L. Nkosi,Facilities,CC-600,206291.5,Finance Manager,Open
PO-2025-00043,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2025-12-03,L. Nkosi,Facilities,CC-600,48183.8,Department Manager,Open
PO-2026-00044,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-06-08,K. Mahlangu,Quality,CC-500,200457.29,Finance Manager,Open
PO-2026-00045,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-08-24,S. Naidoo,Maintenance,CC-200,20875.37,Department Manager,Open
PO-2026-00046,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2026-05-11,J. van Wyk,Production,CC-100,69805.82,Finance Manager,Open
PO-2025-00047,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2025-10-31,G. Coetzee,Engineering,CC-400,158922.73,Finance Manager,Open
PO-2026-00048,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-07-07,C. Maree,Production,CC-100,12062.34,Department Manager,Open
PO-2026-00049,SUP-0032,Linbro Park Hardware (Pty) Ltd,2026-07-07,N. Khumalo,Engineering,CC-400,728.13,Buyer,Open
PO-2026-00050,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-07-28,J. van Wyk,Warehouse,CC-300,464.04,Buyer,Open
PO-2025-00051,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2025-12-15,J. van Wyk,Facilities,CC-600,4358.1,Buyer,Open
PO-2026-00052,SUP-0036,Booysens Battery Centre (Pty) Ltd,2026-07-15,C. Maree,Warehouse,CC-300,75488.6,Finance Manager,Open
PO-2026-00053,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-07-09,B. Sithole,Maintenance,CC-200,459.2,Buyer,Open
PO-2025-00054,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2025-11-26,R. Botha,Maintenance,CC-200,32240.59,Department Manager,Open
PO-2026-00055,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-01-05,G. Coetzee,Warehouse,CC-300,25073.22,Department Manager,Open
PO-2025-00056,SUP-0010,Germiston Tool Hire (Pty) Ltd,2025-10-06,S. Naidoo,Production,CC-100,163201.48,Finance Manager,Open
PO-2026-00057,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2026-05-25,D. Pillay,Engineering,CC-400,7648.28,Buyer,Open
PO-2026-00058,SUP-0044,Village Main Instruments (Pty) Ltd,2026-07-07,J. van Wyk,Production,CC-100,17175.52,Department Manager,Open
PO-2026-00059,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2026-01-28,K. Mahlangu,Warehouse,CC-300,2511.0,Buyer,Open
PO-2026-00060,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,2026-07-20,S. Naidoo,Production,CC-100,269.57,Buyer,Open
PO-2025-00061,SUP-0008,Umgeni Valve and Pump (Pty) Ltd,2025-11-12,F. Adams,Quality,CC-500,3182.58,Buyer,Open
PO-2026-00062,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-04-06,N. Khumalo,Production,CC-100,31296.21,Department Manager,Open
PO-2025-00063,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2025-11-13,T. Mokoena,Warehouse,CC-300,14581.46,Department Manager,Open
PO-2026-00064,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-03-25,A. Petersen,Warehouse,CC-300,19766.51,Department Manager,Open
PO-2025-00065,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2025-10-29,M. Fourie,Warehouse,CC-300,184824.75,Finance Manager,Open
PO-2025-00066,SUP-0009,Rand Safety Equipment (Pty) Ltd,2025-10-15,F. Adams,Warehouse,CC-300,145.19,Buyer,Open
PO-2026-00067,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-08-25,B. Sithole,Warehouse,CC-300,10238.48,Department Manager,Open
PO-2026-00068,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2026-06-24,L. Nkosi,Quality,CC-500,7050.2,Buyer,Open
PO-2026-00069,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-07-09,G. Coetzee,Facilities,CC-600,113187.91,Finance Manager,Open
PO-2026-00070,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-02-27,F. Adams,Quality,CC-500,82458.78,Finance Manager,Open
PO-2026-00071,SUP-0044,Village Main Instruments (Pty) Ltd,2026-03-16,C. Maree,Maintenance,CC-200,36331.38,Department Manager,Open
PO-2026-00072,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-04-20,D. Pillay,Maintenance,CC-200,5217.1,Buyer,Open
PO-2026-00073,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-07-30,J. van Wyk,Warehouse,CC-300,9069.6,Buyer,Open
PO-2026-00074,SUP-0036,Booysens Battery Centre (Pty) Ltd,2026-03-04,C. Maree,Engineering,CC-400,54647.28,Finance Manager,Open
PO-2026-00075,SUP-0016,Benoni Industrial Paints (Pty) Ltd,2026-02-16,F. Adams,Engineering,CC-400,31488.25,Department Manager,Open
PO-2025-00076,SUP-0024,Randburg Instrumentation (Pty) Ltd,2025-12-03,J. van Wyk,Quality,CC-500,9246.58,Buyer,Open
PO-2026-00077,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-08-25,M. Fourie,Warehouse,CC-300,12872.4,Department Manager,Open
PO-2026-00078,SUP-0011,Karoo Abrasives (Pty) Ltd,2026-06-22,R. Botha,Engineering,CC-400,825.23,Buyer,Open
PO-2026-00079,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-04-07,C. Maree,Production,CC-100,12099.48,Department Manager,Open
PO-2026-00080,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-08-05,S. Naidoo,Facilities,CC-600,23494.98,Department Manager,Open
PO-2026-00081,SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,2026-01-12,T. Mokoena,Facilities,CC-600,17272.6,Department Manager,Open
PO-2026-00082,SUP-0009,Rand Safety Equipment (Pty) Ltd,2026-06-18,D. Pillay,Engineering,CC-400,26590.08,Department Manager,Open
PO-2026-00083,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2026-01-07,M. Fourie,Production,CC-100,11051.0,Department Manager,Open
PO-2026-00084,SUP-0027,Kya Sand Plastics (Pty) Ltd,2026-06-22,J. van Wyk,Maintenance,CC-200,35934.96,Department Manager,Open
PO-2026-00085,SUP-0009,Rand Safety Equipment (Pty) Ltd,2026-01-23,S. Naidoo,Facilities,CC-600,1752.24,Buyer,Open
PO-2026-00086,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-06-18,A. Petersen,Engineering,CC-400,163122.0,Finance Manager,Open
PO-2026-00087,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2026-05-01,F. Adams,Production,CC-100,18299.95,Department Manager,Open
PO-2026-00088,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-03-27,D. Pillay,Maintenance,CC-200,1975957.0,Chief Financial Officer,Open
PO-2026-00089,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-02-02,M. Fourie,Production,CC-100,241997.45,Finance Manager,Open
PO-2026-00090,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-02-04,D. Pillay,Warehouse,CC-300,37045.88,Department Manager,Open
PO-2025-00091,SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,2025-11-17,D. Pillay,Warehouse,CC-300,3749.23,Buyer,Open
PO-2026-00092,SUP-0010,Germiston Tool Hire (Pty) Ltd,2026-03-16,D. Pillay,Quality,CC-500,133654.0,Finance Manager,Open
PO-2026-00093,SUP-0037,Denver Crane Services (Pty) Ltd,2026-06-05,R. Botha,Engineering,CC-400,146078.12,Finance Manager,Open
PO-2026-00094,SUP-0044,Village Main Instruments (Pty) Ltd,2026-01-19,R. Botha,Warehouse,CC-300,142221.6,Finance Manager,Open
PO-2026-00095,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2026-06-08,B. Sithole,Warehouse,CC-300,11006.17,Department Manager,Open
PO-2026-00096,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,2026-03-09,D. Pillay,Maintenance,CC-200,9903.5,Buyer,Open
PO-2026-00097,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-06-02,D. Pillay,Engineering,CC-400,3834.75,Buyer,Open
PO-2026-00098,SUP-0033,Aeroton Castors (Pty) Ltd,2026-02-03,C. Maree,Warehouse,CC-300,2455.19,Buyer,Open
PO-2026-00099,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-02-03,D. Pillay,Production,CC-100,2457.4,Buyer,Open
PO-2025-00100,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2025-12-04,L. Nkosi,Facilities,CC-600,4531.75,Buyer,Open
PO-2025-00101,SUP-0027,Kya Sand Plastics (Pty) Ltd,2025-12-15,P. Dlamini,Quality,CC-500,68770.92,Finance Manager,Open
