exception_id,invoice_id,invoice_number,supplier_id,supplier_name,invoice_date,po_number,total_incl_vat,code,control,severity,line_no,value_at_risk,detail,recommendation,extraction_method,extraction_confidence
137,INV-00166,006008,SUP-0022,Nigel Compressor Services (Pty) Ltd,2026-05-21,PO-2026-00225,282489.39,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,282489.39,The invoice asks for payment into Nedbank account 0657675921. The master file holds Nedbank account 657675921 for Nigel Compressor Services (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
93,INV-00122,INV2688162,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2026-06-04,PO-2026-00042,237235.23,E12_GOODS_NOT_RECEIVED,Three way match,HIGH,,237235.23,"Order PO-2026-00042 exists and the supplier has invoiced R237,235.23, but the warehouse has never booked anything in against it.","Confirm with the warehouse before paying. Either the delivery never arrived or it arrived and was not recorded, and both need fixing.",rules_fallback,0.72
150,INV-00179,INV2679092,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-07-16,PO-2026-00069,130166.1,E12_GOODS_NOT_RECEIVED,Three way match,HIGH,,130166.1,"Order PO-2026-00069 exists and the supplier has invoiced R130,166.10, but the warehouse has never booked anything in against it.","Confirm with the warehouse before paying. Either the delivery never arrived or it arrived and was not recorded, and both need fixing.",rules_fallback,0.72
110,INV-00141,006010,SUP-0022,Nigel Compressor Services (Pty) Ltd,2025-12-10,PO-2025-00007,124416.91,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,124416.91,The invoice asks for payment into None account 0657675921. The master file holds Nedbank account 657675921 for Nigel Compressor Services (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
124,INV-00152,TI2605846,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-04-23,PO-2026-00070,110961.55,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,110961.55,The invoice asks for payment into ing Investec Account account 04168918377. The master file holds Investec account 4168918377 for Roodepoort Motor Rewinds (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
190,INV-00223,INV2508005,,Highveld Lubricants (Pty) Ltd Invoice No. INV2508005,2025-11-21,PO-2025-00315,110887.52,E07_UNAPPROVED_SUPPLIER,Vendor master control,HIGH,,110887.52,"The name on the invoice could not be matched to any supplier on the master file. R110,887.52 is being claimed by a party the company has no record of.",Do not pay until the supplier is identified and loaded properly. An unknown payee is how invoice fraud gets through.,rules_fallback,0.72
146,INV-00176,SI2506002,SUP-0022,Nigel Compressor Services (Pty) Ltd,2025-12-18,PO-2025-00283,102963.05,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,102963.05,The invoice asks for payment into Nedbank account 0657675921. The master file holds Nedbank account 657675921 for Nigel Compressor Services (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
28,INV-00039,SI2605844,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-01-09,PO-2025-00367,87357.86,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,87357.86,The invoice asks for payment into None account 04168918377. The master file holds Investec account 4168918377 for Roodepoort Motor Rewinds (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
70,INV-00096,INV2635829,SUP-0021,Witbank Belting (Pty) Ltd,2026-07-19,,79976.59,E04_NO_PO,Procurement compliance,MEDIUM,,79976.59,"No order number appears on the invoice. R79,976.59 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
71,INV-00096,INV2635829,SUP-0021,Witbank Belting (Pty) Ltd,2026-07-19,,79976.59,E07_UNAPPROVED_SUPPLIER,Vendor master control,HIGH,,79976.59,Witbank Belting (Pty) Ltd is on the system but was never approved by procurement.,"Route to procurement for vendor onboarding, including tax clearance and bank verification, before any payment is released.",rules_fallback,0.72
189,INV-00222,TI2606501,SUP-0037,Denver Crane Services (Pty) Ltd,2026-05-22,PO-2026-00150,600843.56,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,78370.9,"The supply is R600,843.56, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R78,370.90 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
116,INV-00146,INV2508001,SUP-0006,Highveld Lubricants (Pty) Ltd,2025-11-10,PO-2025-00032,75974.12,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,75974.12,The invoice asks for payment into None account 78748883154. The master file holds First National Bank account 173497462 for Highveld Lubricants (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
186,INV-00218,SI2605844,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-01-09,PO-2025-00367,75963.36,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,75963.36,The invoice asks for payment into Investec account 04168918377. The master file holds Investec account 4168918377 for Roodepoort Motor Rewinds (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
187,INV-00218,SI2605844,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-01-09,PO-2025-00367,75963.36,E03_DUPLICATE,Duplicate payment prevention,HIGH,,75963.36,"Invoice number SI2605844 has already been captured as INV-00039 dated 2026-01-09 for R87,357.86.",Block the payment and mark it a duplicate. Confirm the original has not already gone out in an earlier run.,rules_fallback,0.72
144,INV-00175,INV2629388,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-10-15,PO-2026-96727,70010.48,E04_NO_PO,Procurement compliance,MEDIUM,,70010.48,"The invoice quotes PO-2026-96727, which does not exist on the purchasing system.","Query the number with the supplier. A wrong reference is usually a typing error, but it can also be an invoice aimed at the wrong company.",rules_fallback,0.72
15,INV-00020,INV2623514,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-07-17,,64111.19,E04_NO_PO,Procurement compliance,MEDIUM,,64111.19,"No order number appears on the invoice. R64,111.19 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
16,INV-00020,INV2623514,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-07-17,,64111.19,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,64111.19,The invoice asks for payment into ing Investec Account account 04168918377. The master file holds Investec account 4168918377 for Roodepoort Motor Rewinds (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
85,INV-00113,005520A,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2025-12-12,PO-2025-00344,52890.31,E03_DUPLICATE,Duplicate payment prevention,HIGH,,52890.31,"R52,890.31 from the same supplier was already invoiced on 2025-12-05 under 005520. This one is dated 2025-12-12 under 005520A.",Two identical amounts days apart from one supplier is rarely a coincidence. Confirm with the supplier's statement before either is paid.,rules_fallback,0.72
